question,answer
What is the purpose of the Study and Examination Regulations of the University of Ostrava?,"The Study and Examination Regulations of the University of Ostrava establish the rules for studying in accredited study programs at the University and implemented by its faculties, as well as the rules for conducting state rigorosum exams."
On what legal basis were the Study and Examination Regulations of the University of Ostrava created?,"The Study and Examination Regulations were created based on Act No. 111/1998 Coll., on Higher Education Institutions."
Who is bound by the rules of the Study and Examination Regulations of the University of Ostrava?,"The rules of the Regulations bind students, employees of the University of Ostrava, and other persons according to the specifications in the Regulations."
When does the academic year at the University of Ostrava start and end?,"The academic year at the University of Ostrava starts on September 1 and ends on August 31 of the following calendar year."
How are the academic year schedules of faculties determined at the University of Ostrava?,"The academic year schedules of faculties are determined by the Rector after consultation with the Rector's Council."
How are the academic year schedules published at the University of Ostrava and its faculties?,"The schedules are published in the public section of the University of Ostrava's and individual faculties' websites."
Into what two semesters is the academic year divided?,"The academic year is divided into the winter semester and the summer semester."
What does the winter semester include?,"The winter semester includes the enrollment period for the academic year, teaching, Christmas holidays, and examinations."
What does the summer semester include?,"The summer semester includes the teaching period, Easter holidays, examinations, and the main holidays."
Who can declare rector's or dean's leave at the University of Ostrava?,"The rector or the dean can declare rector's or dean's leave."
How is a course defined at the University of Ostrava?,"A course at the University of Ostrava is defined as a one-semester course with credit evaluation and specified learning outcomes."
How do I earn credits for a course?,"Credits for a course are earned by completing the course, i.e., meeting all the set conditions."
What is the credit system at the University of Ostrava?,"The credit system at the University of Ostrava is based on the principles of ECTS and evaluates courses based on the study/workload required to achieve the expected learning outcomes."
What does one credit correspond to?,"One credit corresponds to 25 to 30 hours of study workload."
What is the study workload for an academic year?,"The total study workload for an academic year usually corresponds to 60 credits."
What should be the study workload for a semester?,"The study workload for a semester should be 30 credits."
Do I receive credits for the state final examination?,"No credits are awarded for the state final examination."
Who is responsible for the professional level of a course?,"The professional level of a course is the responsibility of the course guarantor appointed by the head of the faculty department after consultation with the program guarantor."
What are the basic teaching methods at the University of Ostrava?,"The basic teaching methods at the University of Ostrava include lectures, exercises, seminars, excursions, internships, and others."
What activities may be organized during the main holidays?,"During the main holidays, mandatory courses, professional internships, state exams, and other activities may be organized."
How long should the minimum free period for students be during the summer holidays?,"During the summer holidays, a minimum free period of four weeks for students should be maintained."
What are the primary teaching methods at the University of Ostrava?,"The primary teaching methods at the University of Ostrava include lectures, exercises, seminars, excursions, internships, special courses, consultations, tutorials, offline and online teaching via Learning Management System."
What is the purpose of lectures at the University of Ostrava?,"Lectures introduce students to the knowledge and methods of the relevant scientific or artistic field, guide them to independent study, and prepare them to apply the lectured material."
What is the aim of exercises at the University of Ostrava?,"In exercises, students consolidate and deepen knowledge gained from lectures and independent study, apply theoretical knowledge, and develop skills or perform a set range of practical tasks."
What is the purpose of seminars at the University of Ostrava?,"Seminars theoretically and methodically develop and deepen the knowledge of subjects with active student participation."
What are the goals of internships at the University of Ostrava?,"Internships serve to consolidate and expand knowledge and skills acquired through study based on students' work at the relevant workplace."
What is achieved through excursions at the University of Ostrava?,"Excursions are mainly intended for students to verify theoretical knowledge gained through teaching of certain subjects in real conditions and to become familiar with working methods in practice."
What is the purpose of special courses at the University of Ostrava?,"Special courses serve mainly to acquire knowledge and practical skills in a specially selected area of study."
What are the purposes of consultations at the University of Ostrava?,"Consultations help students with independent study and can exceptionally replace some teaching methods and parts."
What are the primary teaching methods for distance or combined forms of study at the University of Ostrava?,"The primary teaching methods for distance or combined forms of study are tutorials, offline and online teaching via Learning Management System."
How is teaching and study control conducted at the University of Ostrava?,"Teaching and study control are conducted in the Czech language, except for the study of foreign languages."
In what language can teaching and study control be conducted for selected courses at the University of Ostrava?,"Teaching and study control for selected courses can be conducted in a foreign language, which must be published in the course description in the public section of the internet pages."
What is the language of instruction for a study program accredited in a foreign language at the University of Ostrava?,"The language of instruction and study control for a study program accredited in a foreign language is the foreign language in which the study program is accredited."
Who appoints the teacher responsible for implementing teaching methods at the University of Ostrava?,"The head of the department, or the dean, after consultation with the program guarantor, appoints the teacher responsible for implementing teaching methods. This is usually the course guarantor or other teachers."
What is the focus of teaching in master's and doctoral study programs at the University of Ostrava?,"The focus of teaching at the University of Ostrava lies in independent study, which, especially for students in master's and doctoral study programs, should result in independent creative work."
What is the obligation of students to attend teaching at the University of Ostrava?,"The obligation of students to attend individual teaching methods arises from the requirements for completing the course or from the dean's measures."
What must the course guarantor publish before the start of course enrollment?,"The course guarantor must publish or specify the course description in the University's electronic information system before the start of course enrollment, which is determined by the academic year's schedule."
What is the role of the program guarantor?,"The guarantor mainly coordinates the content preparation of the study, oversees the quality of its implementation, evaluates the study, and develops it."
Who appoints and dismisses the program guarantor at the University of Ostrava?,"The dean appoints and dismisses the program guarantor for both study programs and lifelong learning programs."
Who can be the guarantor of a state rigorosum exam?,"The guarantor of a state rigorosum exam is the guarantor of the follow-up master's study program within which the right to conduct the rigorosum examination was granted."
What requirements must the program guarantor meet?,"The program guarantor for accredited study programs must meet the requirements in accordance with § 44 paragraphs 6 and 7 of the Act."
What do the Quality System Rules at the University of Ostrava establish?,"The appointment and dismissal process of the program guarantor and program board members, their competencies, powers, and responsibilities are established by the Quality Assurance Rules of educational, creative, and related activities and the internal evaluation of the quality of educational, creative, and related activities, which are internal regulations of the University of Ostrava."
What measures can be taken for a student who could not attend mandatory teaching for serious reasons?,"For a student who could not attend mandatory teaching for serious reasons, the course guarantor can determine an alternative way to fulfill study obligations."
What does the accreditation of a study program at the University of Ostrava mean and who grants it?,"A study program is subject to accreditation granted by the National Accreditation Bureau for Higher Education according to part nine of the Act. An accredited study program is also considered a study program implemented within the area or areas of education for which the University of Ostrava has institutional accreditation."
What authorization can a master's study program obtain within accreditation?,"Within the accreditation of a master's study program, the authorization to conduct a state rigorosum examination and confer academic degrees according to § 46 paragraph 5 of the Act is decided."
What rules govern the process of creating changing and approving study programs at the University of Ostrava?,"The process of creating, changing, and approving study programs is governed by the Quality System Rules."
Who is responsible for providing and implementing lifelong learning programs at the University of Ostrava?,"The dean is responsible for providing lifelong learning programs, while the guarantor is responsible for their implementation and ensuring their professional level."
What is the role of the Study Committee at the University of Ostrava?,"The Study Committee is the highest professional and advisory body to the Vice-Rector for Study and Lifelong Learning."
Who are the permanent members of the Study Committee at the University of Ostrava?,"The permanent members of the Study Committee are the Vice-Deans for Study and the heads of the study departments of individual faculties, as well as a representative of the IT Center of the University of Ostrava."
