question,answer
Jaký je účel Studijního a zkušebního řádu Ostravské univerzity?,"Studijní a zkušební řád Ostravské univerzity stanoví pravidla studia ve studijních programech akreditovaných na OU a uskutečňovaných jejími fakultami, jakož i pravidla konání státních rigorózních zkoušek."
Na základě jakého zákona byl vytvořen Studijní a zkušební řád Ostravské univerzity?,"Studijní a zkušební řád byl vytvořen na základě zákona č. 111/1998 Sb., o vysokých školách."
Kdo je vázán pravidly Studijního a zkušebního řádu Ostravské univerzity?,"Pravidly řádu jsou vázáni studenti, zaměstnanci OU, a jiné osoby podle specifikace v řádu."
Kdy začíná a končí akademický rok na Ostravské univerzitě?, "Akademický rok na OU začíná 1. září a končí 31. srpna následujícího kalendářního roku."
Jakým způsobem jsou harmonogramy akademického roku fakult stanovovány na OU?, "Harmonogramy akademického roku fakult stanovuje rektor po projednání na kolegiu rektora."
Jak se zveřejňují harmonogramy akademického roku na OU a jejích fakultách?, "Harmonogramy se zveřejňují ve veřejné části internetových stránek OU a jednotlivých fakult."
Na jaké dva semestry se člení akademický rok?, "Akademický rok se člení na zimní a letní semestr."
Co zahrnuje zimní semestr?,"Zimní semestr zahrnuje období zápisu do akademického roku, výuky, vánočních prázdnin a zkoušek."
Co zahrnuje letní semestr?,"Letní semestr zahrnuje období výuky, velikonočních prázdnin, zkoušek a hlavních prázdnin."
Kdo může vyhlásit rektorské nebo děkanské volno na OU?, "Rektorské nebo děkanské volno může vyhlásit rektor nebo děkan."
Jak je definován studijní předmět na OU?, "Studijní předmět na OU je definován jako jednosemestrální kurz s kreditním ohodnocením a specifikovanými výstupy z učení."
Jak získám kredity za předmět?,"Kredity za předmět se získávají absolvováním předmětu, tj. splněním všech stanovených podmínek."
Jaký je kreditní systém OU?, "Kreditní systém OU je založen na zásadách ECTS a ohodnocuje předměty na základě studijní/pracovní zátěže potřebné pro dosažení očekávaných výstupů z učení."
Čemu odpovídá jeden kredit?, "Jeden kredit odpovídá 25 až 30 hodinám studijní zátěže."
Jaká je studijní zátěž za akademický rok?, "Celková studijní zátěž za akademický rok obvykle odpovídá 60 kreditům."
Jaká by měla být studijní zátěž za semestr?, "Studijní zátěž za semestr by měla být 30 kreditů."
Dostanu kredity za státní závěrečnou zkoušku?, "Za státní závěrečnou zkoušku se kredity nepřiřazují."
Kdo zodpovídá za odbornou úroveň daného předmětu?, "Za odbornou úroveň předmětu zodpovídá garant předmětu stanovený vedoucím fakultního pracoviště po projednání s garantem studijního programu."
Jaké jsou základní způsoby výuky na OSU?,"Základní způsoby výuky na OU zahrnují přednášky, cvičení, semináře, exkurze, praxe a další."
Které aktivity mohou být organizovány během hlavních prázdnin?,"Během hlavních prázdnin mohou být organizovány povinné kurzy, odborné praxe, státní zkoušky a další činnosti."
Jak dlouho by mělo být minimalně zachováno volné období pro studenty během letních prázdnin?, "Během letních prázdnin by mělo být zachováno minimalně čtyři týdny volného období pro studenty."
Jaké jsou základní způsoby výuky na Ostravské univerzitě?,"Základní způsoby výuky na OU jsou přednášky, cvičení, semináře, exkurze, praxe, speciální kurzy, konzultace, tutoriály, off-line a on-line výuka prostřednictvím Learning Management System."
Jaký je účel přednášek na Ostravské univerzitě?,"V přednáškách se studující seznamují s poznatky a metodami příslušného vědního nebo uměleckého oboru, uvádějí se do samostatného studia a připravují se k aplikacím přednášené látky."
Co je cílem cvičení na Ostravské univerzitě?,"Ve cvičeních si studující upevňují a prohlubují vědomosti získané z přednášek a samostatného studia, aplikují teoretické poznatky a rozvíjejí dovednosti nebo realizují stanovený rozsah praktických úkolů."
Jaký je účel seminářů na Ostravské univerzitě?,"V seminářích se za aktivní účasti studujících teoreticky a metodicky rozvíjejí a prohlubují poznatky předmětů."
Jaké jsou cíle praxe na Ostravské univerzitě?,"Praxe slouží k upevňování a rozšiřování vědomostí a dovedností získaných studiem na základě práce studujících na odpovídajícím pracovišti."
Co se dosahuje prostřednictvím exkurzí na Ostravské univerzitě?,"Exkurze slouží zejména k tomu, aby si studující v reálných podmínkách ověřovali teoretické vědomosti získané výukou některých předmětů a seznamovali se s metodami práce v praxi."
Jaký je účel speciálních kurzů na Ostravské univerzitě?,"Speciální kurzy slouží zejména k získání vědomostí a praktických dovedností ve speciálně vybrané oblasti studia."
Jaké jsou účely konzultací na Ostravské univerzitě?,"Konzultace pomáhají studujícímu při samostatném studiu a mohou být výjimečně nahrazeny i některé způsoby a části výuky."
Jaké jsou primární způsoby výuky u distanční nebo kombinované formy studia na OU?,"Primárními způsoby výuky u distanční, nebo kombinované formy studia jsou tutoriály, off-line a on-line výuka prostřednictvím Learning Management System."
Jak probíhá výuka a kontroly studia na Ostravské univerzitě?,"Výuka a kontroly studia probíhají v českém jazyce, kromě studia z oblasti cizích jazyků."
V jakém jazyce může probíhat výuka a kontroly studia u vybraných předmětů na OU?,"Výuka a kontroly studia u vybraných předmětů může probíhat v cizím jazyce, což musí být zveřejněno v popisu předmětu ve veřejné části internetových stránek."
Jaký je jazyk výuky u studijního programu akreditovaného v cizím jazyce na OU?,"Jazyk výuky a kontrola studia u studijního programu akreditovaného v cizím jazyce je ten cizí jazyk, v kterém je studijní program akreditován."
Kdo určuje vyučujícího odpovědného za realizaci způsobů výuky na OU?,"Vedoucí katedry, popřípadě děkan, po souhlasném projednání s garantem studijního programu určí vyučujícího, který odpovídá za realizaci jednotlivých způsobů výuky. Zpravidla se jedná o garanta předmětu, popřípadě o další vyučující."
